Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
Guests,FMC,EMPTY,Enabled
Guests,GuestMobile,EMPTY,Enabled
Guests,GuestWS,EMPTY,Enabled
Guests,Guests,EMPTY,Enabled
Guests,JuanP,EMPTY,Enabled
Guests,LAB1,EMPTY,Enabled
Guests,LAB2,EMPTY,Enabled
Guests,Lorenzo,EMPTY,Enabled
Guests,Luis,EMPTY,Enabled
Guests,MM,EMPTY,Enabled
Guests,MariLuz,EMPTY,Enabled
Guests,PACO,EMPTY,Enabled
Guests,PRINT,EMPTY,Enabled
Guests,Quarantined_Systems,EMPTY,Enabled
Guests,REPSOL,EMPTY,Enabled
Guests,TESTSGT21,EMPTY,Enabled
Guests,TESTSGT22,EMPTY,Enabled
Guests,TESTSGT23,EMPTY,Enabled
Guests,TESTSGT3,EMPTY,Enabled
Guests,TESTSGT4,EMPTY,Enabled
Guests,TESTSGT5,EMPTY,Enabled
Guests,TESTSGT6,EMPTY,Enabled
Guests,TESTSGT7,EMPTY,Enabled
Guests,TESTSGT8,EMPTY,Enabled
Guests,THIN,EMPTY,Enabled
Guests,TLF,EMPTY,Enabled
Guests,TOIP,EMPTY,Enabled
Guests,UPS,EMPTY,Enabled
Guests,Unknown,EMPTY,Enabled
Guests,VISIT,EMPTY,Enabled
Guests,WCOR,EMPTY,Enabled
Guests,WGUEST,EMPTY,Enabled
Guests,WINT,EMPTY,Enabled
Guests,WMIR,EMPTY,Enabled
Guests,WPDA,EMPTY,Enabled
Guests,WVOIP,EMPTY,Enabled
Guests,asier,EMPTY,Enabled
Guests,dddd,EMPTY,Enabled
Guests,istvan,EMPTY,Enabled
Guests,istvan3,EMPTY,Enabled
JuanP,AP,EMPTY,Enabled
JuanP,AUT,EMPTY,Enabled
JuanP,Abelardo,EMPTY,Enabled
JuanP,COR,EMPTY,Enabled
JuanP,EKO,EMPTY,Enabled
JuanP,EXT,EMPTY,Enabled
JuanP,FMC,EMPTY,Enabled
JuanP,GuestMobile,EMPTY,Enabled
JuanP,GuestWS,EMPTY,Enabled
JuanP,Guests,EMPTY,Enabled
JuanP,JuanP,EMPTY,Enabled
JuanP,LAB1,EMPTY,Enabled
JuanP,LAB2,EMPTY,Enabled
JuanP,Lorenzo,EMPTY,Enabled
JuanP,Luis,EMPTY,Enabled
JuanP,MM,EMPTY,Enabled
JuanP,MariLuz,EMPTY,Enabled
JuanP,PACO,EMPTY,Enabled
JuanP,PRINT,EMPTY,Enabled
JuanP,Quarantined_Systems,EMPTY,Enabled
JuanP,REPSOL,EMPTY,Enabled
JuanP,TESTSGT21,EMPTY,Enabled
JuanP,TESTSGT22,EMPTY,Enabled
JuanP,TESTSGT23,EMPTY,Enabled
JuanP,TESTSGT3,EMPTY,Enabled
JuanP,TESTSGT4,EMPTY,Enabled
JuanP,TESTSGT5,EMPTY,Enabled
JuanP,TESTSGT6,EMPTY,Enabled
JuanP,TESTSGT7,EMPTY,Enabled
JuanP,TESTSGT8,EMPTY,Enabled
JuanP,THIN,EMPTY,Enabled
JuanP,TLF,EMPTY,Enabled
JuanP,TOIP,EMPTY,Enabled
JuanP,UPS,EMPTY,Enabled
JuanP,Unknown,EMPTY,Enabled
JuanP,VISIT,EMPTY,Enabled
JuanP,WCOR,EMPTY,Enabled
JuanP,WGUEST,EMPTY,Enabled
JuanP,WINT,EMPTY,Enabled
JuanP,WMIR,EMPTY,Enabled
JuanP,WPDA,EMPTY,Enabled
JuanP,WVOIP,EMPTY,Enabled
JuanP,asier,EMPTY,Enabled
JuanP,dddd,EMPTY,Enabled
JuanP,istvan,EMPTY,Enabled
JuanP,istvan3,EMPTY,Enabled
LAB1,AP,EMPTY,Enabled
LAB1,AUT,EMPTY,Enabled
LAB1,Abelardo,EMPTY,Enabled
LAB1,COR,EMPTY,Enabled
LAB1,EKO,EMPTY,Enabled
LAB1,EXT,EMPTY,Enabled
LAB1,FMC,EMPTY,Enabled
LAB1,GuestMobile,EMPTY,Enabled
LAB1,GuestWS,EMPTY,Enabled
LAB1,Guests,EMPTY,Enabled
LAB1,JuanP,EMPTY,Enabled
LAB1,LAB1,EMPTY,Enabled
LAB1,LAB2,EMPTY,Enabled
LAB1,Lorenzo,EMPTY,Enabled
LAB1,Luis,EMPTY,Enabled
LAB1,MM,EMPTY,Enabled
LAB1,MariLuz,EMPTY,Enabled
LAB1,PACO,EMPTY,Enabled
LAB1,PRINT,EMPTY,Enabled
LAB1,Quarantined_Systems,EMPTY,Enabled
LAB1,REPSOL,EMPTY,Enabled
LAB1,TESTSGT21,EMPTY,Enabled
LAB1,TESTSGT22,EMPTY,Enabled
LAB1,TESTSGT23,EMPTY,Enabled
LAB1,TESTSGT3,EMPTY,Enabled
LAB1,TESTSGT4,EMPTY,Enabled
LAB1,TESTSGT5,EMPTY,Enabled
LAB1,TESTSGT6,EMPTY,Enabled
LAB1,TESTSGT7,EMPTY,Enabled
LAB1,TESTSGT8,EMPTY,Enabled
LAB1,THIN,EMPTY,Enabled
LAB1,TLF,EMPTY,Enabled
LAB1,TOIP,EMPTY,Enabled
LAB1,UPS,EMPTY,Enabled
LAB1,Unknown,EMPTY,Enabled
LAB1,VISIT,EMPTY,Enabled
LAB1,WCOR,EMPTY,Enabled
LAB1,WGUEST,EMPTY,Enabled
LAB1,WINT,EMPTY,Enabled
LAB1,WMIR,EMPTY,Enabled
LAB1,WPDA,EMPTY,Enabled
LAB1,WVOIP,EMPTY,Enabled
LAB1,asier,EMPTY,Enabled
LAB1,dddd,EMPTY,Enabled
LAB1,istvan,EMPTY,Enabled
LAB1,istvan3,EMPTY,Enabled
LAB2,AP,EMPTY,Enabled
LAB2,AUT,EMPTY,Enabled
LAB2,Abelardo,EMPTY,Enabled
LAB2,COR,EMPTY,Enabled
LAB2,EKO,EMPTY,Enabled
LAB2,EXT,EMPTY,Enabled
LAB2,FMC,EMPTY,Enabled
LAB2,GuestMobile,EMPTY,Enabled
LAB2,GuestWS,EMPTY,Enabled
LAB2,Guests,EMPTY,Enabled
LAB2,JuanP,EMPTY,Enabled
LAB2,LAB1,EMPTY,Enabled
LAB2,LAB2,EMPTY,Enabled
LAB2,Lorenzo,EMPTY,Enabled
LAB2,Luis,EMPTY,Enabled
LAB2,MM,EMPTY,Enabled
LAB2,MariLuz,EMPTY,Enabled
LAB2,PACO,EMPTY,Enabled
LAB2,PRINT,EMPTY,Enabled
LAB2,Quarantined_Systems,EMPTY,Enabled
LAB2,REPSOL,EMPTY,Enabled
LAB2,TESTSGT21,EMPTY,Enabled
LAB2,TESTSGT22,EMPTY,Enabled
LAB2,TESTSGT23,EMPTY,Enabled
LAB2,TESTSGT3,EMPTY,Enabled
LAB2,TESTSGT4,EMPTY,Enabled
